name,client,start_date,deadline
Project Phoenix,ABC Company,2022-01-01,2022-03-31
Project Everest,XYZ Corporation,2022-04-15,2022-07-15
Project Odyssey,123 Industries,2022-06-01,2022-09-30
Project Aurora,Acme Inc.,2022-08-10,2022-12-31
Project Quantum,Blue Sky Enterprises,2022-10-01,2023-01-31
Project Horizon,GlobalTech Solutions,2022-12-15,2023-03-15
Project Titan,Superior Systems,2023-02-01,2023-05-15
Project Orion,Innovative Technologies,2023-04-01,2023-07-31
Project Galaxy,Prime Innovations,2023-06-01,2023-09-30
Project Odyssey,ABC Company,2023-08-01,2023-11-30
Project Atlas,XYZ Corporation,2023-10-01,2024-01-31
Project Nimbus,123 Industries,2024-01-01,2024-04-30
Project Zenith,Acme Inc.,2024-03-01,2024-06-30
Project Eclipse,Blue Sky Enterprises,2024-05-01,2024-08-31
Project Endeavor,GlobalTech Solutions,2024-07-01,2024-10-31
Project Stellar,Superior Systems,2024-09-01,2024-12-31
Project Nova,Innovative Technologies,2025-01-01,2025-04-30
Project Alpha,Prime Innovations,2025-03-01,2025-06-30
Project Omega,ABC Company,2025-05-01,2025-08-31
Project Zen,XYZ Corporation,2025-07-01,2025-10-31
